    nm         	 V
5.000025e+002	-4.931250e-001
4.995142e+002	-4.965000e-001
4.990259e+002	-5.032500e-001
4.985376e+002	-5.077500e-001
4.980494e+002	-5.118750e-001
4.975611e+002	-5.167500e-001
4.970728e+002	-5.208750e-001
4.965845e+002	-5.268750e-001
4.960962e+002	-5.340000e-001
4.956079e+002	-5.392500e-001
4.951197e+002	-5.426250e-001
4.946314e+002	-5.471250e-001
4.941431e+002	-5.527500e-001
4.936548e+002	-5.568750e-001
4.931665e+002	-5.617500e-001
4.926782e+002	-5.677500e-001
4.921899e+002	-5.730000e-001
4.917017e+002	-5.775000e-001
4.912134e+002	-5.816250e-001
4.907251e+002	-5.868750e-001
4.902368e+002	-5.917500e-001
4.897485e+002	-5.973750e-001
4.892602e+002	-6.026250e-001
4.887719e+002	-6.071250e-001
4.882837e+002	-6.123750e-001
4.877954e+002	-6.157500e-001
4.873071e+002	-6.206250e-001
4.868188e+002	-6.273750e-001
4.863305e+002	-6.326250e-001
4.858422e+002	-6.371250e-001
4.853540e+002	-6.408750e-001
4.848657e+002	-6.465000e-001
4.843774e+002	-6.510000e-001
4.838891e+002	-6.562500e-001
4.834008e+002	-6.615000e-001
4.829125e+002	-6.652500e-001
4.824242e+002	-6.716250e-001
4.819360e+002	-6.757500e-001
4.814477e+002	-6.806250e-001
4.809594e+002	-6.858750e-001
4.804711e+002	-6.911250e-001
4.799828e+002	-6.945000e-001
4.794945e+002	-7.005000e-001
4.790062e+002	-7.065000e-001
4.785180e+002	-7.091250e-001
4.780297e+002	-7.140000e-001
4.775414e+002	-7.185000e-001
4.770531e+002	-7.241250e-001
4.765648e+002	-7.282500e-001
4.760765e+002	-7.335000e-001
4.755883e+002	-7.387500e-001
4.751000e+002	-7.436250e-001
4.746117e+002	-7.481250e-001
4.741234e+002	-7.515000e-001
4.736351e+002	-7.567500e-001
4.731468e+002	-7.623750e-001
4.726585e+002	-7.668750e-001
4.721703e+002	-7.721250e-001
4.716820e+002	-7.762500e-001
4.711937e+002	-7.803750e-001
4.707054e+002	-7.848750e-001
4.702171e+002	-7.893750e-001
4.697288e+002	-7.942500e-001
4.692405e+002	-7.991250e-001
4.687523e+002	-8.040000e-001
4.682640e+002	-8.077500e-001
4.677757e+002	-8.118750e-001
4.672874e+002	-8.175000e-001
4.667991e+002	-8.227500e-001
4.663108e+002	-8.272500e-001
4.658226e+002	-8.313750e-001
4.653343e+002	-8.362500e-001
4.648460e+002	-8.400000e-001
4.643577e+002	-8.448750e-001
4.638694e+002	-8.493750e-001
4.633811e+002	-8.550000e-001
4.628928e+002	-8.591250e-001
4.624046e+002	-8.632500e-001
4.619163e+002	-8.670000e-001
4.614280e+002	-8.726250e-001
4.609397e+002	-8.763750e-001
4.604514e+002	-8.805000e-001
4.599631e+002	-8.857500e-001
4.594748e+002	-8.906250e-001
4.589866e+002	-8.940000e-001
4.584983e+002	-8.988750e-001
4.580100e+002	-9.048750e-001
4.575217e+002	-9.078750e-001
4.570334e+002	-9.123750e-001
4.565451e+002	-9.172500e-001
4.560569e+002	-9.213750e-001
4.555686e+002	-9.255000e-001
4.550803e+002	-9.300000e-001
4.545920e+002	-9.352500e-001
4.541037e+002	-9.397500e-001
4.536154e+002	-9.427500e-001
4.531271e+002	-9.472500e-001
4.526389e+002	-9.521250e-001
4.521506e+002	-9.566250e-001
4.516623e+002	-9.607500e-001
4.511740e+002	-9.648750e-001
4.506857e+002	-9.701250e-001
4.501974e+002	-9.731250e-001
4.497091e+002	-9.780000e-001
4.492209e+002	-9.821250e-001
4.487326e+002	-9.873750e-001
4.482443e+002	-9.907500e-001
4.477560e+002	-9.937500e-001
4.472677e+002	-9.990000e-001
4.467794e+002	-1.003125e+000
4.462912e+002	-1.006500e+000
4.458029e+002	-1.010625e+000
4.453146e+002	-1.015125e+000
4.448263e+002	-1.018875e+000
4.443380e+002	-1.022250e+000
4.438497e+002	-1.026750e+000
4.433614e+002	-1.029750e+000
4.428732e+002	-1.033500e+000
4.423849e+002	-1.037625e+000
4.418966e+002	-1.041000e+000
4.414083e+002	-1.045875e+000
4.409200e+002	-1.050000e+000
4.404317e+002	-1.052625e+000
4.399434e+002	-1.055625e+000
4.394552e+002	-1.058625e+000
4.389669e+002	-1.062750e+000
4.384786e+002	-1.067250e+000
4.379903e+002	-1.069500e+000
4.375020e+002	-1.073625e+000
4.370137e+002	-1.075875e+000
4.365255e+002	-1.079625e+000
4.360372e+002	-1.082625e+000
4.355489e+002	-1.085625e+000
4.350606e+002	-1.089375e+000
4.345723e+002	-1.090125e+000
4.340840e+002	-1.093125e+000
4.335957e+002	-1.094250e+000
4.331075e+002	-1.096125e+000
4.326192e+002	-1.097625e+000
4.321309e+002	-1.099125e+000
4.316426e+002	-1.098375e+000
4.311543e+002	-1.098000e+000
4.306660e+002	-1.097250e+000
4.301777e+002	-1.094625e+000
4.296895e+002	-1.090500e+000
4.292012e+002	-1.083750e+000
4.287129e+002	-1.076250e+000
4.282246e+002	-1.062375e+000
4.277363e+002	-1.042500e+000
4.272480e+002	-1.018875e+000
4.267598e+002	-1.012875e+000
4.262715e+002	-1.008375e+000
4.257832e+002	-1.003500e+000
4.252949e+002	-1.000500e+000
4.248066e+002	-9.971250e-001
4.243183e+002	-9.948750e-001
4.238300e+002	-9.911250e-001
4.233418e+002	-9.870000e-001
4.228535e+002	-9.855000e-001
4.223652e+002	-9.840000e-001
